"year" "lower" "upper" "NumbersTotArea" "midw" "Nden"
"482" 2000 3349.654392 4731.51259 7.868010579 4040.583491 1.97941600464391e-10
"483" 2001 3349.654392 4731.51259 2.090838278 4040.583491 5.26008284945815e-11
"484" 2002 3349.654392 4731.51259 4.975478406 4040.583491 1.25171941353036e-10
"485" 2003 3349.654392 4731.51259 3.584241155 4040.583491 9.01715145839585e-11
"486" 2004 3349.654392 4731.51259 3.200614255 4040.583491 8.05203172698791e-11
"487" 2005 3349.654392 4731.51259 1.612290644 4040.583491 4.05616371867774e-11
"488" 2006 3349.654392 4731.51259 2.138003668 4040.583491 5.37874045279241e-11
"489" 2007 3349.654392 4731.51259 3.905364365 4040.583491 9.82502584411817e-11
"490" 2008 3349.654392 4731.51259 5.531392869 4040.583491 1.39157509550062e-10
"491" 2009 3349.654392 4731.51259 5.365648586 4040.583491 1.34987753000368e-10
"492" 2010 3349.654392 4731.51259 6.190104803 4040.583491 1.55729232878569e-10
"493" 2011 3349.654392 4731.51259 13.781307504 4040.583491 3.46706964415443e-10
"494" 1983 4731.51259 6683.439176 5.225118389 5707.475883 9.30611204839392e-11
"495" 1984 4731.51259 6683.439176 2.950125305 5707.475883 5.25427265015264e-11
"496" 1985 4731.51259 6683.439176 5.001967488 5707.475883 8.90867276878298e-11
"497" 1986 4731.51259 6683.439176 5.029213904 5707.475883 8.95719955446251e-11
"498" 1987 4731.51259 6683.439176 4.270347244 5707.475883 7.60563244306122e-11
"499" 1988 4731.51259 6683.439176 3.792788971 5707.475883 6.75508505498069e-11
"500" 1989 4731.51259 6683.439176 3.703800948 5707.475883 6.59659438522928e-11
"501" 1990 4731.51259 6683.439176 5.76728462 5707.475883 1.02717283883343e-10
"502" 1991 4731.51259 6683.439176 3.326589071 5707.475883 5.92476731223183e-11
"503" 1992 4731.51259 6683.439176 3.116582377 5707.475883 5.55073830852713e-11
"504" 1993 4731.51259 6683.439176 3.981066484 5707.475883 7.09041365458899e-11
